,start,end,feature_name,duration,feature_value
1092,3354.933,3386.167,Blink 0/1 positive,31.233999999999924,0.9582122648723046
1542,160.667,182.1,Brow Lowerer 0/1 positive,21.432999999999993,0.9919072615923009
1546,190.4,212.633,Brow Lowerer 0/1 positive,22.233000000000004,0.9924798239178283
1637,400.633,421.733,Brow Lowerer 0/1 positive,21.100000000000023,0.9871106337271751
3413,3935.933,3956.233,Brow Lowerer 0/1 positive,20.300000000000182,0.9769762643144164
3465,4097.533,4124.4,Brow Lowerer 0/1 positive,26.86699999999928,0.9775476539589443
3481,4165.533,4187.067,Brow Lowerer 0/1 positive,21.53399999999965,0.9777895174615306
3520,4268.267,4298.1,Brow Lowerer 0/1 positive,29.83300000000054,0.9780101055296673
3557,4378.8,4400.233,Brow Lowerer 0/1 positive,21.432999999999993,0.9782534972445952
4260,160.667,182.1,Frown positive,21.432999999999993,0.0010471999048213376
4264,190.4,212.633,Frown positive,22.233000000000004,0.0010489822046023146
4355,400.633,421.733,Frown positive,21.100000000000023,0.0010206717407058973
6131,3935.933,3956.233,Frown positive,20.300000000000182,0.0013397049551317755
6183,4097.533,4124.4,Frown positive,26.86699999999928,0.0013835286013604655
6199,4165.533,4187.067,Frown positive,21.53399999999965,0.0014002585726512337
6238,4268.267,4298.1,Frown positive,29.83300000000054,0.0013996763556596925
6275,4378.8,4400.233,Frown positive,21.432999999999993,0.0014121889777764611
16701,5447.267,5467.467,Blink positive,20.199999999999818,0.10952370314321168
16974,2797.433,2854.5,Arousal positive,57.06700000000001,0.05544206103315447
17064,5255.0,5279.767,Arousal positive,24.766999999999825,0.05881093001886129
17213,4043.867,4067.433,Arousal negative,23.565999999999804,-0.43960018728739864
17227,4197.433,4261.767,Arousal negative,64.33399999999983,-0.47013123764173814
17233,4320.633,4349.4,Arousal negative,28.766999999999825,-0.4736352244306691
17234,4351.633,4377.167,Arousal negative,25.53400000000056,-0.47289360984838197
17235,4379.333,4410.067,Arousal negative,30.73400000000038,-0.4738413542927674
17490,2305.367,2339.567,Valence positive,34.19999999999982,0.05495754234074595
17491,2340.233,2363.967,Valence positive,23.733999999999924,0.0526937744010837
17513,2664.433,2701.967,Valence positive,37.534000000000106,0.06445133087755783
17624,5551.767,5576.3,Valence positive,24.533000000000357,0.07442733621656318
17846,2801.467,2827.8,Valence negative,26.333000000000084,-0.4697267812280505
22498,2668.0,2698.433,Eye Contact negative,30.432999999999993,
22500,2699.533,2797.333,Eye Contact negative,97.80000000000018,
22501,2797.367,2823.1,Eye Contact negative,25.73299999999972,
22502,2823.2,2975.533,Eye Contact negative,152.33300000000008,
22503,2975.567,3036.067,Eye Contact negative,60.5,
22504,3036.1,3099.9,Eye Contact negative,63.80000000000018,
22506,3101.3,3181.5,Eye Contact negative,80.19999999999982,
23439,5258.933,5290.033,Eye Contact negative,31.100000000000364,
24054,2721.933,2745.6,Tilt positive,23.666999999999916,0.8366069618125009
24126,3036.3,3064.867,Tilt positive,28.567000000000007,0.8740683415961609
